seat_code,state,seat,mp,current_party
P137,Melaka,Hang Tuah Jaya,ADAM ADLI ABD HALIM,Parti Keadilan Rakyat (PKR)
P138,Melaka,Kota Melaka,KHOO POAY TIONG,DAP
P139,Melaka,Jasin,ZULKIFLI BIN ISMAIL,Parti Islam Se-Malaysia (PAS)
P140,Johor,Segamat,YUNESWARAN A/L RAMARAJ ,Parti Keadilan Rakyat (PKR)
P141,Johor,Sekijang,ZALIHA MUSTAFA,Parti Keadilan Rakyat (PKR)
P142,Johor,Labis,PANG HOK LIONG,DAP
P143,Johor,Pagoh,MAHIADDIN BIN MD YASIN,PPBM
P144,Johor,Ledang,SYED IBRAHIM BIN SYED NOH,Parti Keadilan Rakyat (PKR)
P145,Johor,Bakri,TAN HONG PIN,Democratic Action Party (DAP)
P146,Johor,Muar,SYED SADDIQ BIN SYED ABDUL RAHMAN,Malaysian United Democratic Alliance (MUDA)
P147,Johor,Parit Sulong,NORAINI BINTI AHMAD,UMNO
P148,Johor,Ayer Hitam,WEE KA SIONG,MCA
P149,Johor,Sri Gading,AMINOLHUDA BIN HASSAN,AMANAH
P150,Johor,Batu Pahat,ONN ABU BAKAR,Parti Keadilan Rakyat
P151,Johor,Simpang Renggam,HASNI BIN MOHAMMAD,UMNO
P152,Johor,Kluang,WONG SHU QI,DAP
P153,Johor,Sembrong,HISHAMMUDDIN BIN DATUK HUSSEIN,UMNO
P154,Johor,Mersing,MUHAMMAD ISLAHUDDIN ABAS,BERSATU
P155,Johor,Tenggara,MANNDZRI NASIB,UMNO
P156,Johor,Kota Tinggi,MOHAMED KHALED NORDIN,
P157,Johor,Pengerang,AZALINA BINTI OTHMAN,UMNO
P158,Johor,Tebrau,JIMMY PUAH WEE TSE,Parti Keadilan Rakyat
P159,Johor,Pasir Gudang,HASSAN BIN ABDUL KARIM,PKR
P160,Johor,Johor Bahru,AKMAL NASRULLAH BIN MOHD NASIR,PKR
P161,Johor,Pulai,SALAHUDDIN BIN AYUB,AMANAH
P162,Johor,Iskandar Puteri,LIEW CHIN TONG,Democratic Action Party
P163,Johor,Kulai,TEO NIE CHING,DAP
P164,Johor,Pontian,AHMAD BIN MASLAN,UMNO
P165,Johor,Tanjung Piai,WEE JECK SENG,MCA
P166,W.P. Labuan,Labuan,SUHAILI ABDUL RAHMAN,UMNO
P167,Sabah,Kudat,VERDON BIN BAHANDA,Independent
P168,Sabah,Kota Marudu,WETROM BIN BAHANDA,Parti Kesejahteraan Demokratik Masyarakat
P169,Sabah,Kota Belud,ISNARAISSAH MUNIRAH BT MAJILIS @ FAKHARUDY,WARISAN
P170,Sabah,Tuaran,MADIUS BIN TANGAU,UPKO
P171,Sabah,Sepanggar,MUSTAPHA SAKMUD,PKR
P172,Sabah,Kota Kinabalu,CHAN FOONG HIN,DAP
P173,Sabah,Putatan,SHAHELMEY BIN YAHYA,UMNO
P174,Sabah,Penampang,EWON BENEDICK,UPKO
P175,Sabah,Papar,ARMIZAN MOHD ALI,
P176,Sabah,Kimanis,MOHAMAD BIN ALAMIN,UMNO
P177,Sabah,Beaufort,SITI AMINAH ACHING,UMNO
P178,Sabah,Sipitang,MATBALI MUSAH,BERSATU
P179,Sabah,Ranau,JONATHAN BIN YASIN,
P180,Sabah,Keningau,GAPARI BIN KATINGAN @ GEOFFREY KITINGAN,STAR
P181,Sabah,Tenom,RIDUAN RUBIN,Kesejahteraan Demokratik Masyarakat
P182,Sabah,Pensiangan,ARTHUR JOSEPH KURUP,PBRS
P183,Sabah,Beluran,RONALD KIANDEE,PPBM
P184,Sabah,Libaran,SUHAIMI BIN NASIR,Barisan Nasional
P185,Sabah,Batu Sapi,KHAIRUL FIRDAUS AKBAR KHAN,BERSATU
P186,Sabah,Sandakan,VIVIAN WONG SHIR YEE,DAP
P187,Sabah,Kinabatangan,MOKTAR BIN RADIN,UMNO
P188,Sabah,Lahad Datu,MOHAMMAD YUSOF BIN APDAL,Parti Warisan Sabah
P189,Sabah,Semporna,MOHD. SHAFIE BIN APDAL,WARISAN
P190,Sabah,Tawau,LO SU FUI,Parti Bersatu Sabah
P191,Sabah,Kalabakan,ANDI MUHAMMAD SURYADY BIN BANDY,UMNO
P192,Sarawak,Mas Gading,MORDI ANAK BIMOL,DAP
P193,Sarawak,Santubong,NANCY BINTI SHUKRI,PBB
